id,timestamp,insurance_type,postal_code,address,unit_apt,city,province,name,date_of_birth,move_in_year,occupants,active_home_insurance,ever_insured,num_claims,num_cancellations,multiline_discount,has_monitored_fire_alarm,has_deadbolt_locks,has_monitored_burglar_alarm,has_sprinkler_system,occupants_non_smokers,num_fire_extinguishers,num_mortgages,email,phone,carrier_name,carrier_original_name,monthly_premium,annual_premium
b0f20b10-fa64-4ada-9f2e-66ef13a7189b,20250611_203319,H,M9C 1Y5,18 Winsdale Rd,463.0,Etobicoke,ON,Michelle Wagner,1994-01-22,2023,2,False,False,1,2,False,True,True,False,True,True,0,1,bigballs@gmail.com,8554654009,max_insurance,Max Insurance,273.5,3282.0
b0f20b10-fa64-4ada-9f2e-66ef13a7189b,20250611_203319,H,M9C 1Y5,18 Winsdale Rd,463.0,Etobicoke,ON,Michelle Wagner,1994-01-22,2023,2,False,False,1,2,False,True,True,False,True,True,0,1,bigballs@gmail.com,8554654009,sgi_canada,SGI Canada,391.83,4702.0
b0f20b10-fa64-4ada-9f2e-66ef13a7189b,20250611_203319,H,M9C 1Y5,18 Winsdale Rd,463.0,Etobicoke,ON,Michelle Wagner,1994-01-22,2023,2,False,False,1,2,False,True,True,False,True,True,0,1,bigballs@gmail.com,8554654009,economical_mutual,Economical Mutual,427.92,5135.0
b0f20b10-fa64-4ada-9f2e-66ef13a7189b,20250611_203319,H,M9C 1Y5,18 Winsdale Rd,463.0,Etobicoke,ON,Michelle Wagner,1994-01-22,2023,2,False,False,1,2,False,True,True,False,True,True,0,1,bigballs@gmail.com,8554654009,square_one,Square One Insurance Services,434.51,5214.0
b0f20b10-fa64-4ada-9f2e-66ef13a7189b,20250611_203319,H,M9C 1Y5,18 Winsdale Rd,463.0,Etobicoke,ON,Michelle Wagner,1994-01-22,2023,2,False,False,1,2,False,True,True,False,True,True,0,1,bigballs@gmail.com,8554654009,pembridge,Pembridge,798.5,9582.0
ac8200d0-9ad5-423e-8f0c-4aa7050ec2e6,20250611_204914,H,M9C 2H3,37 Thicket Rd,652.0,Etobicoke,ON,Jade Williams,1993-01-26,2021,1,False,False,0,1,True,True,True,True,False,False,3,1,bigballs@gmail.com,2897308160,square_one,Square One Insurance Services,362.52,4350.0
ac8200d0-9ad5-423e-8f0c-4aa7050ec2e6,20250611_204914,H,M9C 2H3,37 Thicket Rd,652.0,Etobicoke,ON,Jade Williams,1993-01-26,2021,1,False,False,0,1,True,True,True,True,False,False,3,1,bigballs@gmail.com,2897308160,max_insurance,Max Insurance,446.92,5363.0
ac8200d0-9ad5-423e-8f0c-4aa7050ec2e6,20250611_204914,H,M9C 2H3,37 Thicket Rd,652.0,Etobicoke,ON,Jade Williams,1993-01-26,2021,1,False,False,0,1,True,True,True,True,False,False,3,1,bigballs@gmail.com,2897308160,gore,Gore,491.67,5900.0
ac8200d0-9ad5-423e-8f0c-4aa7050ec2e6,20250611_204914,H,M9C 2H3,37 Thicket Rd,652.0,Etobicoke,ON,Jade Williams,1993-01-26,2021,1,False,False,0,1,True,True,True,True,False,False,3,1,bigballs@gmail.com,2897308160,sgi_canada,SGI Canada,578.58,6943.0
ac8200d0-9ad5-423e-8f0c-4aa7050ec2e6,20250611_204914,H,M9C 2H3,37 Thicket Rd,652.0,Etobicoke,ON,Jade Williams,1993-01-26,2021,1,False,False,0,1,True,True,True,True,False,False,3,1,bigballs@gmail.com,2897308160,economical_mutual,Economical Mutual,642.08,7705.0
